"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"con",7,"--","app",5,0.419233819102163,,0.038517838950003,1.37176919149291e-27,,,"omega",7,5,37,"Low Slow Risk",1,FALSE,0.0001941391,0.9888831304,0.0002328401,1.1522672491,0.2830750375,,0.0001941391,0.9888831304,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"--","app",5,0.432834347021902,,0.0450796256470353,7.87499678077187e-22,,,"omega",8,5,38,"Low Slow Risk",1,FALSE,0.0003238446,0.9856422972,0.0003398917,0.3503230839,0.5539302971,,0.0003238446,0.9856422972,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","app",5,0.285148404539012,,0.0672313811760188,2.22229635064329e-05,,,"omega",9,5,39,"Low Slow Risk",1,FALSE,3.1573e-06,0.9985822543,-4.79742e-05,0.0258155069,0.8723517061,,3.1573e-06,0.9985822543,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"con",7,"--","glt",6,0.680580520290185,,0.0421645939675007,1.31303809485731e-58,,,"omega",7,6,40,"Low Slow Risk",1,FALSE,0.0002247648,0.9880384381,0.0002748329,1.177400028,0.2778859344,,0.0002247648,0.9880384381,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"--","glt",6,0.659574980053949,,0.0457149241343169,3.44933157361374e-47,,,"omega",8,6,41,"Low Slow Risk",1,FALSE,0.0005746227,0.9808755096,0.0004855631,2.2245733857,0.1358301713,,0.0005746227,0.9808755096,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","glt",6,1.38937515075707,,0.0690820069130503,5.79766473061119e-90,,,"omega",9,6,42,"Low Slow Risk",1,FALSE,1.83274e-05,0.99658423,0.0001136572,0.3145756308,0.5748858746,,1.83274e-05,0.99658423,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"--","con",7,1.32837957945823,,0.0437159366867402,8.25274803723898e-203,,,"omega",8,7,43,"Low Slow Risk",1,FALSE,3.047e-05,0.9955957302,0.0001041665,0.0069310184,0.9336505792,,3.047e-05,0.9955957302,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","con",7,0.461558525919624,,0.0665629863451316,4.08636367420182e-12,,,"omega",9,7,44,"Low Slow Risk",1,FALSE,0.0005754036,0.9808625223,-0.0006593563,0.0004923448,0.9822973159,,0.0005754036,0.9808625223,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","mot",8,0.851159558317562,,0.062692633581171,5.50456668976975e-42,,,"omega",9,8,45,"Low Slow Risk",1,FALSE,7.23648e-05,0.9932126766,-0.0002449233,0.1840399887,0.6679240824,,7.23648e-05,0.9932126766,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"beta",1,"inverse temp",,,1,,,,,,"beta",1,1,0,"Low Slow Risk",1,TRUE,0,,,0,,,0,,,-Inf,Inf,TRUE,0,"equal_J_free_h"
"anh",1,"~1",,,-1.83434948296607,,0.0393922902481436,0,,,"tau",1,1,46,"High Slow Risk",2,FALSE,5.73707e-05,0.9939566047,-0.0001394935,5.73707e-05,0.9939566047,,5.73707e-05,0.9939566047,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"dep",2,"~1",,,-2.97506310151941,,0.0542579132360868,0,,,"tau",2,1,47,"High Slow Risk",2,FALSE,1.2677e-06,0.9991016525,-1.99395e-05,1.2677e-06,0.9991016525,,1.2677e-06,0.9991016525,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"slp",3,"~1",,,-1.72550594731405,,0.0372299900419922,0,,,"tau",3,1,48,"High Slow Risk",2,FALSE,1.75614e-05,0.9966563685,7.59804e-05,1.75614e-05,0.9966563685,,1.75614e-05,0.9966563685,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"ene",4,"~1",,,-1.16533267370803,,0.0341579009034053,4.26452024000473e-255,,,"tau",4,1,49,"High Slow Risk",2,FALSE,0.0001344939,0.9907470195,0.0002322654,0.0001344939,0.9907470195,,0.0001344939,0.9907470195,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"app",5,"~1",,,-2.31801447561416,,0.043979907424411,0,,,"tau",5,1,50,"High Slow Risk",2,FALSE,2.6941e-06,0.9986903719,-2.90639e-05,2.6941e-06,0.9986903719,,2.6941e-06,0.9986903719,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"glt",6,"~1",,,-3.14475455459884,,0.0585317868270497,0,,,"tau",6,1,51,"High Slow Risk",2,FALSE,9.48238e-05,0.9922305224,0.0001824263,9.48238e-05,0.9922305224,,9.48238e-05,0.9922305224,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"con",7,"~1",,,-2.77281203612945,,0.0518814522241587,0,,,"tau",7,1,52,"High Slow Risk",2,FALSE,5.6838e-06,0.9980977815,4.32639e-05,5.6838e-06,0.9980977815,,5.6838e-06,0.9980977815,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"~1",,,-3.29378455336414,,0.0671050908644728,0,,,"tau",8,1,53,"High Slow Risk",2,FALSE,1.3143e-06,0.9990852816,-2.21841e-05,1.3143e-06,0.9990852816,,1.3143e-06,0.9990852816,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"~1",,,-4.69861166090567,,0.114099559970601,0,,,"tau",9,1,54,"High Slow Risk",2,FALSE,1.26e-06,0.9991043612,2.99207e-05,1.26e-06,0.9991043612,,1.26e-06,0.9991043612,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"dep",2,"--","anh",1,1.79710746247102,,0.0453986404745785,0,,,"omega",2,1,10,"High Slow Risk",2,FALSE,0,,-0.0027821272,0.0023300208,0.9615008325,,0,,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"slp",3,"--","anh",1,0.483484626105626,,0.0367713705892877,1.73817473979351e-39,,,"omega",3,1,11,"High Slow Risk",2,FALSE,0,,0.0703165579,2.336053657,0.1264094319,,0,,,-Inf,Inf,FALSE,0,"equal_J_free_h"
