"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"mot",8,"--","slp",3,0.438815511728596,,0.0835635049039361,1.51044396004572e-07,,,"omega",8,3,29,"Low Slow Risk",1,FALSE,4.4848e-05,0.9946567156,0.0002516947,4.4848e-05,0.9946567156,,4.4848e-05,0.9946567156,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","slp",3,0.129828757673601,,0.150055006846362,0.386924762125441,,,"omega",9,3,30,"Low Slow Risk",1,FALSE,0.0002714392,0.9868551182,0.0010558942,0.0002714392,0.9868551182,,0.0002714392,0.9868551182,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","ene",4,1.15125907140502,,0.0553894913407953,5.94208233917214e-96,,,"omega",5,4,31,"Low Slow Risk",1,FALSE,3.31049e-05,0.9954092457,0.0001270109,3.31049e-05,0.9954092457,,3.31049e-05,0.9954092457,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","ene",4,0.472719265943789,,0.0803542179868455,4.03035312253593e-09,,,"omega",6,4,32,"Low Slow Risk",1,FALSE,1.066e-07,0.9997394516,9.3854e-06,1.066e-07,0.9997394516,,1.066e-07,0.9997394516,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","ene",4,0.829792339631723,,0.0682074100429236,4.73246591534183e-34,,,"omega",7,4,33,"Low Slow Risk",1,FALSE,3.2755e-06,0.9985559563,-4.66451e-05,3.2755e-06,0.9985559563,,3.2755e-06,0.9985559563,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","ene",4,0.421372148408668,,0.0980152927019999,1.71535689131026e-05,,,"omega",8,4,34,"Low Slow Risk",1,FALSE,2.75939e-05,0.9958087389,-0.0001832551,2.75939e-05,0.9958087389,,2.75939e-05,0.9958087389,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","ene",4,-0.399956883997067,,0.181702678024243,0.0277246143089409,,,"omega",9,4,35,"Low Slow Risk",1,FALSE,5.61001e-05,0.9940239028,-0.0004537523,5.61001e-05,0.9940239028,,5.61001e-05,0.9940239028,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","app",5,0.454926879348619,,0.0668355463755606,9.9890218743705e-12,,,"omega",6,5,36,"Low Slow Risk",1,FALSE,0.000123698,0.9911261429,-0.0003838361,0.000123698,0.9911261429,,0.000123698,0.9911261429,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","app",5,0.306871690129579,,0.0599408584686619,3.06225792874295e-07,,,"omega",7,5,37,"Low Slow Risk",1,FALSE,0.0001149793,0.9914445769,0.0003443675,0.0001149793,0.9914445769,,0.0001149793,0.9914445769,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","app",5,0.379419670993001,,0.0784956576881968,1.34059608091605e-06,,,"omega",8,5,38,"Low Slow Risk",1,FALSE,1.92096e-05,0.9965029819,0.0001848812,1.92096e-05,0.9965029819,,1.92096e-05,0.9965029819,,-Inf,Inf,FALSE,0,"free_J_equal_h"
