"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"glt",6,"--","ene",4,0.45993274800512,,0.0839026487345722,4.21156004053062e-08,,,"omega",6,4,32,"Low Slow Risk",1,FALSE,8.9558e-06,0.9976122408,-8.60082e-05,8.9558e-06,0.9976122408,,8.9558e-06,0.9976122408,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","ene",4,0.81586430601345,,0.072151864347253,1.20338327645441e-29,,,"omega",7,4,33,"Low Slow Risk",1,FALSE,2.9279e-06,0.9986347218,-4.41009e-05,2.9279e-06,0.9986347218,,2.9279e-06,0.9986347218,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","ene",4,0.51047638663745,,0.106498891443179,1.64096499487195e-06,,,"omega",8,4,34,"Low Slow Risk",1,FALSE,5.95513e-05,0.9938428245,-0.0002692027,5.95513e-05,0.9938428245,,5.95513e-05,0.9938428245,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","ene",4,-0.405539065408385,,0.1881854699992,0.0311620930492934,,,"omega",9,4,35,"Low Slow Risk",1,FALSE,0.0003355461,0.9853852343,0.0011105464,0.0003355461,0.9853852343,,0.0003355461,0.9853852343,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"--","app",5,0.451070838029251,,0.066805950682711,1.45865139943769e-11,,,"omega",6,5,36,"Low Slow Risk",1,FALSE,1.3478e-06,0.9990736955,-4.0072e-05,1.3478e-06,0.9990736955,,1.3478e-06,0.9990736955,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","app",5,0.305787852436457,,0.0599440483649259,3.37468801920607e-07,,,"omega",7,5,37,"Low Slow Risk",1,FALSE,2.21969e-05,0.9962408961,0.0001512948,2.21969e-05,0.9962408961,,2.21969e-05,0.9962408961,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","app",5,0.387751566559274,,0.0790324139799965,9.28414542698949e-07,,,"omega",8,5,38,"Low Slow Risk",1,FALSE,5.5284e-06,0.9981239738,-9.91693e-05,5.5284e-06,0.9981239738,,5.5284e-06,0.9981239738,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","app",5,0.322052029711965,,0.136234709030668,0.0180812565281221,,,"omega",9,5,39,"Low Slow Risk",1,FALSE,2.07705e-05,0.9963636786,0.0003151981,2.07705e-05,0.9963636786,,2.07705e-05,0.9963636786,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","glt",6,0.555856554938614,,0.0707662952179956,4.00344697059265e-15,,,"omega",7,6,40,"Low Slow Risk",1,FALSE,1.61158e-05,0.9967969467,0.0001535464,1.61158e-05,0.9967969467,,1.61158e-05,0.9967969467,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","glt",6,0.44992277198803,,0.087156154008776,2.43985420440266e-07,,,"omega",8,6,41,"Low Slow Risk",1,FALSE,9.27202e-05,0.992317183,0.0004721692,9.27202e-05,0.992317183,,9.27202e-05,0.992317183,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","glt",6,1.46463269339624,,0.140841935480176,2.50223977043253e-25,,,"omega",9,6,42,"Low Slow Risk",1,FALSE,0.0003633994,0.9847908178,-0.0012687272,0.0003633994,0.9847908178,,0.0003633994,0.9847908178,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","con",7,1.38202947506494,,0.0768074389609676,2.19340517643105e-72,,,"omega",8,7,43,"Low Slow Risk",1,FALSE,0.0001523501,0.9901519466,-0.0005112014,0.0001523501,0.9901519466,,0.0001523501,0.9901519466,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","con",7,0.47113478263594,,0.137094562284143,0.000589134494683546,,,"omega",9,7,44,"Low Slow Risk",1,FALSE,0.0018427404,0.9657596046,0.0031204292,0.0018427404,0.9657596046,,0.0018427404,0.9657596046,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","mot",8,0.784358849470101,,0.136989355936816,1.03013010075983e-08,,,"omega",9,8,45,"Low Slow Risk",1,FALSE,0.0005243891,0.9817304041,0.0019219299,0.0005243891,0.9817304041,,0.0005243891,0.9817304041,,-Inf,Inf,FALSE,0,"free_J_free_h"
"beta",1,"inverse temp",,,1,,,,,,"beta",1,1,0,"Low Slow Risk",1,TRUE,0,,,0,,,0,,,-Inf,Inf,TRUE,0,"free_J_free_h"
"anh",1,"~1",,,-1.89120725084817,,0.0507858388981505,1.60432116509529e-303,,,"tau",1,1,46,"High Slow Risk",2,FALSE,3.30789e-05,0.9954110513,-0.0001112587,3.30789e-05,0.9954110513,,3.30789e-05,0.9954110513,,-Inf,Inf,FALSE,0,"free_J_free_h"
"dep",2,"~1",,,-3.15820395706051,,0.070878507700515,0,,,"tau",2,1,47,"High Slow Risk",2,FALSE,6.932e-06,0.9978992767,-4.89769e-05,6.932e-06,0.9978992767,,6.932e-06,0.9978992767,,-Inf,Inf,FALSE,0,"free_J_free_h"
"slp",3,"~1",,,-1.91553584716701,,0.0506309773107522,0,,,"tau",3,1,48,"High Slow Risk",2,FALSE,3.7875e-06,0.9984472062,3.70638e-05,3.7875e-06,0.9984472062,,3.7875e-06,0.9984472062,,-Inf,Inf,FALSE,0,"free_J_free_h"
"ene",4,"~1",,,-1.20354875074852,,0.041378294377148,5.32307957249236e-186,,,"tau",4,1,49,"High Slow Risk",2,FALSE,1.2318e-06,0.9991144691,-2.33494e-05,1.2318e-06,0.9991144691,,1.2318e-06,0.9991144691,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"~1",,,-2.42812909036386,,0.0588754680946782,0,,,"tau",5,1,50,"High Slow Risk",2,FALSE,2.81725e-05,0.9957650285,-9.87209e-05,2.81725e-05,0.9957650285,,2.81725e-05,0.9957650285,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"~1",,,-3.21416954860822,,0.0759642605884627,0,,,"tau",6,1,51,"High Slow Risk",2,FALSE,1.1487e-06,0.9991448328,-2.109e-05,1.1487e-06,0.9991448328,,1.1487e-06,0.9991448328,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"~1",,,-2.868466117805,,0.0679125781361956,0,,,"tau",7,1,52,"High Slow Risk",2,FALSE,8.8712e-06,0.9976235418,5.67738e-05,8.8712e-06,0.9976235418,,8.8712e-06,0.9976235418,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"~1",,,-3.46091886979536,,0.0838221409468046,0,,,"tau",8,1,53,"High Slow Risk",2,FALSE,3.5471e-06,0.9984972935,3.82811e-05,3.5471e-06,0.9984972935,,3.5471e-06,0.9984972935,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"~1",,,-4.85956342543111,,0.142983487849158,3.48060686190137e-253,,,"tau",9,1,54,"High Slow Risk",2,FALSE,2.653e-07,0.999589003,1.4422e-05,2.653e-07,0.999589003,,2.653e-07,0.999589003,,-Inf,Inf,FALSE,0,"free_J_free_h"
"dep",2,"--","anh",1,1.91017814539252,,0.0631726577763125,7.63602009735355e-201,,,"omega",2,1,55,"High Slow Risk",2,FALSE,2.0787e-05,0.9963622378,-8.52887e-05,2.0787e-05,0.9963622378,,2.0787e-05,0.9963622378,,-Inf,Inf,FALSE,0,"free_J_free_h"
"slp",3,"--","anh",1,0.552466873301806,,0.0567161324484725,2.01734986769071e-22,,,"omega",3,1,56,"High Slow Risk",2,FALSE,1.73762e-05,0.9966740502,7.75297e-05,1.73762e-05,0.9966740502,,1.73762e-05,0.9966740502,,-Inf,Inf,FALSE,0,"free_J_free_h"
"ene",4,"--","anh",1,1.31157284009592,,0.0616166791816343,1.53036104753461e-100,,,"omega",4,1,57,"High Slow Risk",2,FALSE,9.9525e-06,0.9974828693,-5.93664e-05,9.9525e-06,0.9974828693,,9.9525e-06,0.9974828693,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"--","anh",1,0.562625944782643,,0.0575246486141201,1.36390937575953e-22,,,"omega",5,1,58,"High Slow Risk",2,FALSE,3.3195e-06,0.9985462874,-3.44364e-05,3.3195e-06,0.9985462874,,3.3195e-06,0.9985462874,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"--","anh",1,0.407555954868651,,0.0732378090734665,2.62408144941356e-08,,,"omega",6,1,59,"High Slow Risk",2,FALSE,2.464e-07,0.9996039636,1.00897e-05,2.464e-07,0.9996039636,,2.464e-07,0.9996039636,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","anh",1,0.45331259434903,,0.0657330261503976,5.3386268923877e-12,,,"omega",7,1,60,"High Slow Risk",2,FALSE,5.4549e-06,0.9981364823,-4.59634e-05,5.4549e-06,0.9981364823,,5.4549e-06,0.9981364823,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","anh",1,0.11402658716884,,0.0758216427141749,0.132612487908523,,,"omega",8,1,61,"High Slow Risk",2,FALSE,2.3304e-06,0.9987819731,-3.23162e-05,2.3304e-06,0.9987819731,,2.3304e-06,0.9987819731,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","anh",1,0.0885643336062865,,0.121890532356493,0.467477700412274,,,"omega",9,1,62,"High Slow Risk",2,FALSE,3.65565e-05,0.9951758588,-0.000175476,3.65565e-05,0.9951758588,,3.65565e-05,0.9951758588,,-Inf,Inf,FALSE,0,"free_J_free_h"
"slp",3,"--","dep",2,0.73327067379296,,0.058465483730662,4.40080166878997e-36,,,"omega",3,2,63,"High Slow Risk",2,FALSE,3.15376e-05,0.9955192359,0.0001063437,3.15376e-05,0.9955192359,,3.15376e-05,0.9955192359,,-Inf,Inf,FALSE,0,"free_J_free_h"
"ene",4,"--","dep",2,0.520473422497251,,0.0745691935801543,2.95731372670869e-12,,,"omega",4,2,64,"High Slow Risk",2,FALSE,1.7874e-06,0.9989332812,-2.4978e-05,1.7874e-06,0.9989332812,,1.7874e-06,0.9989332812,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"--","dep",2,0.272062723936585,,0.0551727010426819,8.17631717922271e-07,,,"omega",5,2,65,"High Slow Risk",2,FALSE,1.67781e-05,0.9967317902,8.04303e-05,1.67781e-05,0.9967317902,,1.67781e-05,0.9967317902,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"--","dep",2,1.03534888859452,,0.0610335013660347,1.52653764474916e-64,,,"omega",6,2,66,"High Slow Risk",2,FALSE,4.08914e-05,0.9948978536,-0.0001329366,4.08914e-05,0.9948978536,,4.08914e-05,0.9948978536,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","dep",2,0.413757804688425,,0.0582816261765445,1.25405053669404e-12,,,"omega",7,2,67,"High Slow Risk",2,FALSE,0.0001280171,0.9909725572,-0.0002309394,0.0001280171,0.9909725572,,0.0001280171,0.9909725572,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","dep",2,0.668333572447598,,0.0647409877117541,5.53524176774387e-25,,,"omega",8,2,68,"High Slow Risk",2,FALSE,0.0001169193,0.9913727034,-0.0002353117,0.0001169193,0.9913727034,,0.0001169193,0.9913727034,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","dep",2,1.42863282607891,,0.117564117011077,5.60160551871549e-34,,,"omega",9,2,69,"High Slow Risk",2,FALSE,1.89483e-05,0.9965268496,-0.000126214,1.89483e-05,0.9965268496,,1.89483e-05,0.9965268496,,-Inf,Inf,FALSE,0,"free_J_free_h"
"ene",4,"--","slp",3,1.42746532838969,,0.0594372287626773,1.87668083930297e-127,,,"omega",4,3,70,"High Slow Risk",2,FALSE,2.47561e-05,0.9960300995,9.30794e-05,2.47561e-05,0.9960300995,,2.47561e-05,0.9960300995,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"--","slp",3,0.705803371212301,,0.0525095887438416,3.45743541589049e-41,,,"omega",5,3,71,"High Slow Risk",2,FALSE,4.798e-07,0.9994473177,-1.31523e-05,4.798e-07,0.9994473177,,4.798e-07,0.9994473177,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"--","slp",3,0.36484885528337,,0.0648842491785359,1.8759032231183e-08,,,"omega",6,3,72,"High Slow Risk",2,FALSE,4.13595e-05,0.9948687293,0.0001325148,4.13595e-05,0.9948687293,,4.13595e-05,0.9948687293,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","slp",3,0.479420087120175,,0.0596290118953977,8.9803664848795e-16,,,"omega",7,3,73,"High Slow Risk",2,FALSE,4.0013e-06,0.9984039751,-3.97302e-05,4.0013e-06,0.9984039751,,4.0013e-06,0.9984039751,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","slp",3,0.255680886331097,,0.0674925216864946,0.00015169097402937,,,"omega",8,3,74,"High Slow Risk",2,FALSE,5.59e-08,0.9998113389,5.0604e-06,5.59e-08,0.9998113389,,5.59e-08,0.9998113389,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","slp",3,0.364698169965477,,0.103356266255674,0.000417836638336153,,,"omega",9,3,75,"High Slow Risk",2,FALSE,5.2324e-06,0.9981748885,-6.72474e-05,5.2324e-06,0.9981748885,,5.2324e-06,0.9981748885,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"--","ene",4,1.15522661629562,,0.0663505151324602,6.81237066813529e-68,,,"omega",5,4,76,"High Slow Risk",2,FALSE,3.7e-09,0.9999517224,-1.1298e-06,3.7e-09,0.9999517224,,3.7e-09,0.9999517224,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"--","ene",4,0.306034533180861,,0.0860663814665255,0.000376835767830653,,,"omega",6,4,77,"High Slow Risk",2,FALSE,7.9973e-06,0.9977436305,5.66987e-05,7.9973e-06,0.9977436305,,7.9973e-06,0.9977436305,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"--","ene",4,0.625367845391655,,0.0776322713941656,7.91455400772965e-16,,,"omega",7,4,78,"High Slow Risk",2,FALSE,2.8836e-06,0.9986450993,3.28506e-05,2.8836e-06,0.9986450993,,2.8836e-06,0.9986450993,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"--","ene",4,0.645720060033526,,0.0937066992920066,5.54547886444449e-12,,,"omega",8,4,79,"High Slow Risk",2,FALSE,3.5287e-06,0.998501187,3.88638e-05,3.5287e-06,0.998501187,,3.5287e-06,0.998501187,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"--","ene",4,-0.199721748812168,,0.143591542597153,0.164255177880419,,,"omega",9,4,80,"High Slow Risk",2,FALSE,1.43031e-05,0.9969824529,0.0001084884,1.43031e-05,0.9969824529,,1.43031e-05,0.9969824529,,-Inf,Inf,FALSE,0,"free_J_free_h"
